ID	Invasion	Fractional Area	K14 Sum Peripheral Pixels	K14 Sum Central Pixels	K14 Total Sum	K14 Mean
0	0.6378810329135739	0.0242726113944	0.00040077685918082597	0.003276019729549989	0.003676796588730815	0.15147923431031185
1	0.7567896910502473	0.0166398802926	0.0001313211496081474	0.00033498452584314597	0.00046630567545129334	0.028023379210135344
2	0.28755508071421354	0.0180995067613	6.449919803878102e-05	0.00018094114169720204	0.0002454403397359831	0.013560609301323774
3	0.34394191343200925	0.0266321214808	0.00018318239510390721	0.0015457177661576712	0.0017289001612615785	0.06491785352159801
4	0.13431511424695716	0.0110369097761	9.169035603600784e-05	0.00023864051273357937	0.0003303308687695872	0.029929652001398098
5	1.417387664841964	0.127636610508	0.0008053923741964088	0.020380157327839137	0.021185549702035546	0.1659833304705793
6	0.14353346277302453	0.0122693138994	4.983460908193914e-05	0.00022419869078201	0.0002740332998639491	0.022334851167049172
7	1.150314888588327	0.0379821547329	0.00038487890168259725	0.0016358025697532394	0.0020206814714358364	0.053200811950956786
8	0.8970193385125959	0.0452872145866	0.00041279812745315374	0.002454854364711968	0.0028676524921651216	0.06332145879017632
9	1.0995052432075674	0.0258984981157	0.00019141934095739827	0.0004542898405205576	0.0006457091814779559	0.024932302197326704
10	0.10586335500484095	0.0224548326313	0.0010133209235811372	0.013370293639512998	0.014383614563094137	0.640557638493171
11	0.1744060353535061	0.0234232986034	0.0002110065373966035	0.00641878675655587	0.006629793293952474	0.28304268353502526
13	0.5404492032901299	0.0820709099978	0.0021854122384932693	0.0201372054585523	0.022322617697045567	0.27199183849245145
15	0.3849515487183696	0.0767963034804	0.0009497834270041424	0.00800204076310196	0.008951824190106102	0.11656582132749363
16	0.9400002815040064	0.029013799601	0.0003244030930927015	0.0020112437570905107	0.0023356468501832123	0.08050124017899027
17	0.5588900428561949	0.0533258978054	0.0003764789555813458	0.002661842946001278	0.0030383219015826237	0.056976479095996846
18	2.9482653011469053	0.103793504766	0.0007123518327747858	0.0066464193192240315	0.007358771151998818	0.07089818547490011
19	0.6680551600989179	0.0237793726446	0.00011737919508304319	0.0003797525438905334	0.0004971317389735766	0.020906007336804092
20	0.837054041412331	0.00964725116382	6.148369345521405e-05	9.140510560242718e-05	0.00015288879905764124	0.015847913199460457
21	0.1741569994382197	0.0175037408557	0.0003183096004972594	0.0024467315190319088	0.0027650411195291684	0.15796858182066512
22	0.545590696119796	0.0146766238085	0.00025331053503201324	0.001260415715831888	0.0015137262508639012	0.103138587635564
23	1.2925524707678577	0.146887469519	0.002858399511433924	0.03701138230730111	0.03986978181873503	0.2714307894969245
