ID	Invasion	Fractional Area	K14 Sum Peripheral Pixels	K14 Sum Central Pixels	K14 Total Sum	K14 Total Mean	K14 Peripheral Mean	K14 Central Mean
0	0.10844766994115962	0.0276109787187	0.0009671701200985825	0.006321407691873025	0.007288577811971607	0.263973902780873	0.1857790301749442	0.2821432945202075
1	0.03594063736080119	0.00625762026158	0.000248876928292931	0.0007717328230338911	0.001020609751326822	0.16309870344683872	0.11474251789505326	0.18875156975701157
2	0.17499530684028028	0.0123642207936	0.0009556052525199839	0.004234895853708364	0.005190501106228348	0.4198000984347123	0.2802021722765889	0.4729715174270869
3	0.03271706741196779	0.0112606683662	0.00035724492634562136	0.0015199365603035717	0.001877181486649193	0.16670249274732962	0.12046021865882535	0.18323524499159946
4	0.5641018625674487	0.0289154289515	0.00039816885521665993	0.002931977823272958	0.0033301466784896178	0.11516850343395624	0.061518217476437216	0.13064075770753403
5	0.5640468687485838	0.0289313622257	0.0003972506204876098	0.002883987833661507	0.003281238454149117	0.113414585478374	0.06119295866890134	0.12852229308616506
6	0.42955046101192257	0.00802898470406	0.00015787660663910876	0.0005865400915409392	0.0007444166981800479	0.09271616843458695	0.05462560863271483	0.11413889902145814
7	0.4067600521476457	0.0186883451563	0.0008644011805564612	0.004286884782731536	0.005151285963287997	0.2756416322691734	0.16773496332260557	0.3167265800782387
8	0.27182107739251044	0.0334370150743	0.0020798940281055896	0.01181953373235794	0.01389942776046353	0.4156898493957427	0.33613620996988136	0.4337545019278844
9	0.049858871925825166	0.0142852194635	0.000399486440552723	0.0020206407213738966	0.0024201271619266195	0.16941476944785966	0.1163807601749075	0.18618889915215417
10	0.028906142416820806	0.00891362779871	0.0008378511568670918	0.0026794442560886026	0.0035172954129556945	0.39459751880856486	0.3171093083274211	0.4272430545177311
11	1.1485522257841911	0.0957825315894	0.0018910799744415612	0.015159014891702636	0.017050094866144196	0.17800839655424747	0.13724543814509213	0.18485766449110944
12	0.04234834127300429	0.0171594435824	0.0010755788682132131	0.004889708599023737	0.00596528746723695	0.3476387470611983	0.2880555858707119	0.3642101216131447
13	0.2618315915678787	0.0118481212591	0.00016906657364785862	0.0006199442756486323	0.0007890108492964909	0.06659375204212539	0.04835565294078797	0.0742287625069935
14	0.27770125008722485	0.0351488029262	0.0013281993688630408	0.010305720548028566	0.011633919916891607	0.3309905017626113	0.19274980928331925	0.36470088317251836
15	0.04914558026809386	0.0217412990468	0.001238247682136477	0.008275720895762428	0.009513968577898905	0.4375989014009886	0.2902151800808	0.4735844847354205
16	0.11900479518123999	0.0168574041233	0.0004392720843602349	0.0024966965283120565	0.002935968612672291	0.17416493021142046	0.11416961455089779	0.19190795380985196
17	0.6349602316336649	0.0390316725781	0.001047007641451615	0.0055642796910384635	0.006611287332490078	0.16938262943393284	0.14246172783374825	0.17562752043573365
18	0.14398059535711147	0.0148103247617	0.0007373044540361035	0.0031858371258057646	0.003923141579841868	0.2648923398350406	0.2034238771961384	0.28480953786109725
19	3.408828481794858	0.0946886776768	0.0032811949874163807	0.01873425960940794	0.02201545459682432	0.23250355942208614	0.16150545873206582	0.251898120599979
20	0.06454137962654981	0.0141937763245	0.0003197684527147148	0.001602773286215395	0.0019225417389301099	0.13544962911710634	0.0922077820341081	0.14943068488778966
21	0.16698268202449534	0.0116832465085	0.00031979290275187884	0.0015653429959880205	0.0018851358987398994	0.16135377246065932	0.0950437411942335	0.18817487687946596
22	0.3466329242318508	0.0177143371758	0.000438008832440092	0.0021695332976906126	0.0026075421301307044	0.14719953133183192	0.09458107850470031	0.1658246693785001
23	0.4284391453325138	0.0197136167147	0.0006185940902630172	0.0023239461490648134	0.0029425402393278306	0.14926435275238115	0.12149019607843138	0.15893602809958968
24	0.6295631968939672	0.0122658501441	0.0003189480181343209	0.0012284758172832423	0.001547423835417563	0.1261570797979194	0.08138728003133372	0.14717648035228698
25	0.8795589148737698	0.0366035801374	0.0009508048952234407	0.005465433624125775	0.006416238519349216	0.17528991686761383	0.12098958765452585	0.19013502542772545
26	0.5813751710832609	0.0502985757038	0.0025936762423878885	0.015662346073432698	0.018256022315820585	0.3629530669678314	0.27778776742927475	0.38236584085510605
27	0.12564703036540728	0.0226307913988	0.0008695356883609129	0.004601659994523191	0.005471195682884105	0.24175891980399358	0.17847179821736742	0.2591218348076504
28	0.1892908265012228	0.0172093216582	0.0005192535892654557	0.0029180032686983016	0.0034372568579637574	0.19973226872264083	0.1275400614559249	0.22210366878098456
29	0.3149022151947751	0.0410067058302	0.0011393662985034404	0.005371493864670674	0.006510860163174115	0.15877549857663104	0.13197705337952867	0.16592182708913406
30	0.22825899294576862	0.0235306750166	0.0015956148586679184	0.0064237120807090296	0.008019326939376948	0.34080309781639273	0.24125923963384452	0.379719773249185
31	0.4359724239501445	0.020267124806	0.000513782214282299	0.0018453095048704474	0.0023590917191527463	0.11639992064641005	0.0960195367634366	0.12371081072220826
32	0.18929469298530915	0.0304401740191	0.00048001399628794104	0.002304818069990133	0.0027848320662780743	0.0914854187276968	0.08238138199043736	0.09364061301413332
33	0.06137949903105991	0.0179360175127	0.0004219641747188789	0.003040332237971668	0.0034622964126905472	0.19303596298509362	0.10912105436943677	0.21610027042970423
34	0.1367762557927372	0.0150063733097	0.0001518428808011788	0.000787296630024211	0.0009391395108253898	0.06258271012218015	0.039968678937658215	0.07024838863719551
35	1.2635650342244287	0.030857210153	0.0007981904799161961	0.0033716220915322457	0.004169812571448442	0.1351325201072504	0.09908022371387286	0.14787032635257422
