filename	area	circularity	circumference	imgmode	power	pxlincnt	pxlinmad	pxlinmean	pxlinmedian	pxlinsd	pxltotcnt	pxltotmad	pxltotmean	pxltotmedian	pxltotsd	scaleval	scalex	scaley
../data_2/XY/1_SmallOrgs_Day5/35.txt	7102.911818790497	0.5148637201460334	416.3676682486908	RGB	0.032915956695127264	7289	8.895613311033612	60.22810627886769	75.66666666666667	31.321278611009703	2887040	29.65204437011204	35.57956626856574	24.0	30.07571896832103	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/36.txt	16067.84150194381	0.33781172113931446	773.1189961867885	RGB	0.09554058878254185	16413	10.378215529539215	62.529234956030784	72.66666666666667	26.70391889657232	2887040	31.134646588617642	35.96969525881178	26.0	28.15904844129746	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/37.txt	7188.498167673977	0.548990344305524	405.64082950638846	RGB	0.03111278417580432	7330	8.895613311033612	58.60468394724874	75.66666666666667	31.92715379107625	2887040	29.65204437011204	35.54581485997192	24.0	30.12909017992432	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/38.txt	12056.211199024918	0.4119969316731973	606.4058256183808	RGB	0.08112001132942656	12341	13.343419966550428	56.091456662074926	63.666666666666664	24.512519212694965	2887040	8.895613311033612	30.639744744328695	9.0	32.40292583947193	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/39.txt	12499.954495965168	0.30363065816673374	719.2607102596276	RGB	0.10416774828071157	12766	11.860817748044816	53.498903336988874	54.666666666666664	16.184718381018826	2887040	37.06505546264005	36.25645182147344	29.0	29.85157478081399	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/4.txt	3901.797716398163	0.5283783138186045	304.62448980081894	RGB	0.04629377320082388	4034	13.343419966550428	58.96248553958023	58.666666666666664	13.038257890664314	2887040	20.75643105907843	37.96013298511046	29.0	20.907121035565858	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/40.txt	17947.940399425068	0.29432203576470006	875.3885302246028	RGB	0.12563756943108842	18305	28.16944215160645	49.93531821906583	52.666666666666664	21.78372955847649	2887040	38.05345694164379	36.90223989507129	31.0	28.86237363850314	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/41.txt	9857.430011054232	0.6658352188253547	431.3237789908518	RGB	0.021182136300837297	10056	5.930408874022408	68.605343410236	69.66666666666667	9.475189200044145	2887040	40.030259899651256	37.28999621296093	33.0	28.03845232376465	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/42.txt	10496.932840800611	0.3637806450715482	602.1661616384054	RGB	0.05567268800417899	10739	4.447806655516806	22.722351553527645	22.666666666666668	5.507314398355002	2887040	7.41301109252801	17.381401019729555	8.0	20.462336786281668	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/43.txt	10263.509166563825	0.6454948751609381	446.99891604440495	RGB	0.03135227658803328	10463	8.895613311033612	53.76029819363471	78.0	36.25908470264349	2887040	18.77962810107096	33.03985269803443	15.666666666666666	31.70878896863222	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/44.txt	17714.943135867274	0.3004318806725895	860.799101679894	RGB	0.1414075587839834	18115	8.895613311033607	27.502714141135343	26.666666666666668	11.238458550319589	2887040	14.82602218505602	22.514159946981458	18.666666666666668	17.39614241617362	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/45.txt	5456.519972109345	0.47878100397703105	378.43766227053516	RGB	0.08225398476616388	5626	7.41301109252801	32.11470553383103	31.666666666666668	9.435316439627476	2887040	14.331821445554151	22.045702403384315	15.666666666666666	18.944816511844397	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/46.txt	27220.837474780514	0.18017250962615983	1377.8800411475634	RGB	0.22866234557510032	27791	35.582453244134456	45.83741738932269	58.666666666666664	32.23178951753886	2887040	26.686839933100835	35.50022514409225	25.0	26.600160490520214	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/47.txt	30147.036840624438	0.32773267034056064	1075.1458416827775	RGB	0.06394520180966659	30600	8.895613311033612	66.83399782135075	71.66666666666667	19.164396368183844	2887040	35.58245324413445	38.2485224774625	34.0	26.264902315077236	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/48.txt	7348.261060651414	0.6984177021551747	363.61316696514575	RGB	0.008019609013387444	7479	8.895613311033623	66.24673530329366	67.66666666666667	12.488044063140128	2887040	22.23903327758403	33.29474155767381	19.0	29.614379562913527	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/49.txt	21645.461231209767	0.15625960575643721	1319.3651005886761	RGB	0.15875019633121357	22243	14.82602218505602	51.816151897975395	72.66666666666667	34.06654272663411	2887040	31.134646588617642	33.68855771539939	26.0	27.159996689062556	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/5.txt	10692.114514431341	0.19727043387139842	825.2883848568811	RGB	0.2366544852210355	10999	5.930408874022408	56.51356183895504	57.666666666666664	6.751334898259632	2887040	23.227434756587765	34.73868010141874	28.666666666666668	21.200473966938738	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/50.txt	8959.440209581131	0.41186041466376433	522.8418511027285	RGB	0.04604726167515122	9175	10.378215529539215	62.92174386920981	64.66666666666667	14.63797801439041	2887040	35.58245324413445	34.45001708785932	29.0	27.05622545491095	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/51.txt	14696.40486156987	0.5071036152741407	603.4789588576821	RGB	0.048655240538299456	14932	19.273828840572836	51.2253772658273	56.666666666666664	21.613121100410734	2887040	35.088252504632585	29.150275830377566	27.666666666666668	25.13523732126611	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/52.txt	9262.027463572183	0.19305648945210005	776.4540540907851	RGB	0.04801440602771896	9556	19.273828840572826	52.68857262452908	58.666666666666664	21.162393515873287	2887040	36.57085472313818	31.030220110101226	28.666666666666668	26.185551454536014	1.0	1	1
../data_2/XY/1_SmallOrgs_Day5/53.txt	4731.643623829368	0.7490208317775804	281.75004712287864	RGB	0.0042196868121864356	4836	13.343419966550428	59.703267162944584	63.666666666666664	18.15386927765648	2887040	35.58245324413445	32.385917987511995	28.0	27.372645416963206	1.0	1	1
